instrument,timeframe,variant,filters_applied,K,n_signals,win_rate,base_rate,win_rate_excess,p_value_raw,p_value_corrected,avg_return_gross,avg_return_net,sharpe_gross,sharpe_net,avg_mfe_atr,avg_mae_atr,mfe_mae_ratio,win_rate_ci_lo,win_rate_ci_hi,sharpe_ci_lo,sharpe_ci_hi
EUR_USD,M5,A,direction,5,5229,0.6068081851214381,0.6487,-0.04189181487856197,0.9999999998591889,0.9999999999998943,-0.028322573559144963,-0.9194435526513666,-0.2128281593913303,-6.778049005654002,1.4920077136320287,1.5043377901918684,0.9918036516530857,0.5924650984891949,0.6205775482883916,-7.425820173193912,-6.164397061198092
EUR_USD,M5,A,direction+body_ratio,5,2748,0.604075691411936,0.6487,-0.0446243085880641,0.9999994659302764,0.9999999999998943,-0.03542293565336408,-0.9060876828164015,-0.2678071636343484,-6.744056098286624,1.4828366688160115,1.4878408631950706,0.9966366064390026,0.5858806404657934,0.6215429403202329,-7.722943239676979,-5.868523326158631
EUR_USD,M5,A,direction+body_ratio+wick,5,2748,0.604075691411936,0.6487,-0.0446243085880641,0.9999994659302764,0.9999999999998943,-0.03542293565336408,-0.9060876828164015,-0.2678071636343484,-6.744056098286624,1.4828366688160115,1.4878408631950706,0.9966366064390026,0.5858806404657934,0.6215429403202329,-7.722943239676979,-5.868523326158631
EUR_USD,M5,A,direction+body_ratio+wick+session_both,5,350,0.6114285714285714,0.6496,-0.03817142857142852,0.9389085889513645,0.9999999999998943,0.027808506149597817,-0.6866053644766148,0.2343597511524566,-5.809674628213667,1.523345275446108,1.4136861144420352,1.0775696669039958,0.5542857142857143,0.6685714285714286,-7.623128463087549,-4.245973616287833
EUR_USD,M5,A,direction+body_ratio+wick+session_london,5,168,0.625,0.6558,-0.03080000000000005,0.8219294549098392,0.9999999999998943,0.12289567600755263,-0.6731258075374833,0.9629344112622948,-5.339318512672871,1.5527847173915692,1.3538769860862687,1.1469171374869844,0.5476190476190477,0.7023809523809523,-8.239770354344882,-2.8417779520592577
EUR_USD,M5,A,direction+body_ratio+wick+session_newyork,5,182,0.5989010989010989,0.6465,-0.04759890109890108,0.9213177421699822,0.9999999999998943,-0.059964266026975875,-0.6990480324204286,-0.5479238982781135,-6.332039649604943,1.4961704059579901,1.4688945406165885,1.0185689745500397,0.521978021978022,0.6593406593406593,-9.009506905923642,-4.68854783866144
EUR_USD,M5,A,direction+body_ratio+wick+session_both+news,5,349,0.6103151862464183,0.6496,-0.039284813753581616,0.9436931373565169,0.9999999999998943,0.02886612063353764,-0.6864663958130317,0.24293851646071882,-5.800200514832564,1.5224067505825947,1.4128847340791657,1.0775165969747764,0.5530085959885387,0.664756446991404,-7.598923870796109,-4.231250446003826
EUR_USD,M5,A,direction+body_ratio+wick+session_both+news+trend,5,150,0.6066666666666667,0.6496,-0.04293333333333327,0.8819259005451104,0.9999999999998943,0.003434892836526817,-0.7186262292236579,0.02587934202804928,-5.450823933115782,1.564995291145498,1.4680352201900644,1.0660475100473954,0.5066666666666667,0.7066666666666667,-8.773912479925615,-3.6984030317194696
EUR_USD,M5,A,direction+body_ratio+wick+session_both+news+trend+range_position,5,85,0.5647058823529412,0.6496,-0.08489411764705879,0.9586489365295212,0.9999999999998943,-0.23023606641111907,-0.8990893337688902,-2.0583132583535977,-8.047864625013744,1.3786968685199439,1.4389470426596447,0.9581289843521005,0.47058823529411764,0.6941176470588235,-12.268039606369397,-5.8870274235473685
EUR_USD,M5,A,direction,10,5229,0.6152227959456875,0.6496,-0.03437720405431244,0.9999998947021311,0.9999999999998943,-0.054450297577531497,-0.9455712766697532,-0.2603499946829279,-4.487711126760321,2.2060384458561773,2.2375914205055367,0.9858986880445624,0.6008749282845669,0.6288009179575444,-5.025675139635268,-3.9743752503981162
EUR_USD,M5,A,direction+body_ratio,10,2748,0.6135371179039302,0.6496,-0.03606288209606978,0.9999617518902879,0.9999999999998943,-0.09599595099488613,-0.9666606981579234,-0.46773156431921203,-4.684241657089151,2.125222107351211,2.19458764463382,0.9683924506491136,0.5953420669577875,0.63136826783115,-5.486319193152767,-3.962690258293576
EUR_USD,M5,A,direction+body_ratio+wick,10,2748,0.6135371179039302,0.6496,-0.03606288209606978,0.9999617518902879,0.9999999999998943,-0.09599595099488613,-0.9666606981579234,-0.46773156431921203,-4.684241657089151,2.125222107351211,2.19458764463382,0.9683924506491136,0.5953420669577875,0.63136826783115,-5.486319193152767,-3.962690258293576
EUR_USD,M5,A,direction+body_ratio+wick+session_both,10,350,0.6171428571428571,0.64905,-0.03190714285714291,0.9037333645368218,0.9999999999998943,0.16168344340875418,-0.5527304272174585,0.963346296562971,-3.2815497118492707,2.0956248801450084,1.9040536994928856,1.1006122782688035,0.5571428571428572,0.6742857142857143,-4.837518545927433,-1.9737131996039567
EUR_USD,M5,A,direction+body_ratio+wick+session_london,10,168,0.6309523809523809,0.6555,-0.02454761904761904,0.7746589364581808,0.9999999999998943,0.17420708887861722,-0.6218143946664189,0.9933296535958533,-3.5388020238206224,2.131246746717796,1.8219951299160588,1.1697324058248084,0.5535714285714286,0.7142857142857143,-5.661327271318428,-1.5808640248847836
EUR_USD,M5,A,direction+body_ratio+wick+session_newyork,10,182,0.6043956043956044,0.64645,-0.04205439560439561,0.8962139099021331,0.9999999999998943,0.15012315528272666,-0.488960611110726,0.9350198355819492,-3.0309409168441994,2.062743157154744,1.9798000714099568,1.0418946776205122,0.521978021978022,0.6703296703296703,-6.124702840852745,-1.1176695082387962
EUR_USD,M5,A,direction+body_ratio+wick+session_both+news,10,349,0.6160458452722063,0.64905,-0.03300415472779372,0.9104924829882269,0.9999999999998943,0.16628413261865366,-0.5490483838279157,0.9898570367512349,-3.2561071040975085,2.096326124922466,1.9010841636396594,1.1027003249077687,0.5587392550143266,0.670487106017192,-4.820359939745054,-1.917556430145649
EUR_USD,M5,A,direction+body_ratio+wick+session_both+news+trend,10,150,0.6066666666666667,0.64905,-0.04238333333333333,0.8790796545174946,0.9999999999998943,0.13996824362263333,-0.5820928784375514,0.8381566776840187,-3.4813182058951067,2.136595514755042,1.9202338611790886,1.112674637162736,0.5066666666666667,0.7066666666666667,-6.260600961807096,-1.5563775304180558
EUR_USD,M5,A,direction+body_ratio+wick+session_both+news+trend+range_position,10,85,0.5647058823529412,0.64905,-0.08434411764705885,0.9576807421432217,0.9999999999998943,-0.08129589175172876,-0.7501491591094995,-0.5730237731659956,-5.224135701041353,1.7735380443393989,1.8715340639710716,0.9476386663122005,0.47058823529411764,0.6941176470588235,-10.169169638910297,-2.280500531764042
EUR_USD,M5,A,direction,20,5229,0.6173264486517499,0.6497,-0.03237355134825015,0.9999994966607396,0.9999999999998943,-0.1314934629046927,-1.0226144419969143,-0.4484047799575331,-3.4724304725497737,3.201390703107791,3.3045319077279447,0.9687879531806158,0.6026008797093134,0.6309045706636068,-3.9439610808358365,-3.023240347857555
EUR_USD,M5,A,direction+body_ratio,20,2748,0.6157205240174672,0.6497,-0.033979475982532814,0.9999040982891435,0.9999999999998943,-0.21160290997820122,-1.0822676571412386,-0.7304879841097454,-3.719284527302393,3.0805065130042197,3.271744708954539,0.9415485580439961,0.5975163755458517,0.6328238719068413,-4.38938370445328,-3.1150887672030168
EUR_USD,M5,A,direction+body_ratio+wick,20,2748,0.6157205240174672,0.6497,-0.033979475982532814,0.9999040982891435,0.9999999999998943,-0.21160290997820122,-1.0822676571412386,-0.7304879841097454,-3.719284527302393,3.0805065130042197,3.271744708954539,0.9415485580439961,0.5975163755458517,0.6328238719068413,-4.38938370445328,-3.1150887672030168
EUR_USD,M5,A,direction+body_ratio+wick+session_both,20,350,0.62,0.64875,-0.028750000000000053,0.8811418808747344,0.9999999999998943,0.024215034802379864,-0.6901988358238328,0.11518449138499917,-3.2772315933099416,2.757739587075844,2.612569209262295,1.0555661366975002,0.5571428571428572,0.6742857142857143,-4.7001103936180675,-1.893025487919714
EUR_USD,M5,A,direction+body_ratio+wick+session_london,20,168,0.6309523809523809,0.6558,-0.02484761904761912,0.7771264405316762,0.9999999999998943,0.060282629878109006,-0.7357388536669272,0.2711976183865633,-3.3034473304291896,2.804083772936233,2.567117749012135,1.0923082020742079,0.5535714285714286,0.7142857142857143,-5.410867077532769,-1.1885599008190084
EUR_USD,M5,A,direction+body_ratio+wick+session_newyork,20,182,0.6098901098901099,0.6465,-0.03660989010989002,0.8663139632672693,0.9999999999998943,-0.009078129882908511,-0.6481618962763611,-0.045750060086273935,-3.26150659685144,2.7149603385893304,2.6545244033393667,1.0227671424583387,0.521978021978022,0.6703296703296703,-5.44809828112563,-1.4856859935801556
EUR_USD,M5,A,direction+body_ratio+wick+session_both+news,20,349,0.6189111747851003,0.64875,-0.029838825214899778,0.8890110765437194,0.9999999999998943,0.03301059872279126,-0.6823219177237781,0.15698857720730222,-3.2383368175567417,2.7603380086639917,2.6111032239900225,1.0571539199610516,0.5587392550143266,0.673352435530086,-4.667697349150811,-1.8471810243656268
EUR_USD,M5,A,direction+body_ratio+wick+session_both+news+trend,20,150,0.6066666666666667,0.64875,-0.04208333333333336,0.8775075762485746,0.9999999999998943,-0.0583087526289981,-0.7803698746891831,-0.25567059641173456,-3.4376428798123095,2.7908295103918728,2.694747370926568,1.0356553421303711,0.5066666666666667,0.7066666666666667,-6.353584562050257,-0.9332521974871447
EUR_USD,M5,A,direction+body_ratio+wick+session_both+news+trend+range_position,20,85,0.5647058823529412,0.64875,-0.08404411764705888,0.9571451713289605,0.9999999999998943,-0.32550809387190116,-0.9943613612296718,-1.574422654995415,-4.818189817876662,2.377757382450591,2.6317453744121972,0.9034906665245551,0.47058823529411764,0.6941176470588235,-8.44247975817734,-1.9721156590482234
EUR_USD,M5,A_sn,direction,5,5522,0.604491126403477,0.6487,-0.044208873596523035,0.9999999999959532,0.9999999999998943,-0.045851908206518986,-0.8849787609371131,-0.37398231195012704,-7.0465526283525906,1.3221742692185037,1.3668497127652888,0.967315028763183,0.5901847156827237,0.6189786309308222,-7.690637098806412,-6.467847364271696
EUR_USD,M5,A_sn,direction+body_ratio,5,2846,0.5990864371047083,0.6487,-0.04961356289529173,0.999999982250173,0.9999999999998943,-0.05888191070209718,-0.8758560113640701,-0.48933107741392246,-7.093056939192322,1.3029673943397706,1.3659277182140388,0.953906547883376,0.5794096978215039,0.6184118060435699,-8.053211233582728,-6.269467067869619
EUR_USD,M5,A_sn,direction+body_ratio+wick,5,2846,0.5990864371047083,0.6487,-0.04961356289529173,0.999999982250173,0.9999999999998943,-0.05888191070209718,-0.8758560113640701,-0.48933107741392246,-7.093056939192322,1.3029673943397706,1.3659277182140388,0.953906547883376,0.5794096978215039,0.6184118060435699,-8.053211233582728,-6.269467067869619
EUR_USD,M5,A_sn,direction+body_ratio+wick+session_both,5,336,0.6160714285714286,0.6496,-0.03352857142857135,0.9100644421198495,0.9999999999998943,-0.0378433705208369,-0.7388203226696465,-0.339085667056972,-6.626913005346628,1.434236621478695,1.4472142256450777,0.9910326999718386,0.5505952380952381,0.6815476190476191,-8.463552439596834,-4.9740007777178965
EUR_USD,M5,A_sn,direction+body_ratio+wick+session_london,5,186,0.6344086021505376,0.6558,-0.021391397849462424,0.7565560324715974,0.9999999999998943,-0.089281300339426,-0.887444771174424,-0.7875034030089494,-7.896187531397025,1.3552182649270739,1.3779259555027565,0.9835203840344255,0.5698924731182796,0.7204301075268817,-9.686437446548597,-6.000849138923656
EUR_USD,M5,A_sn,direction+body_ratio+wick+session_newyork,5,150,0.5933333333333334,0.6465,-0.053166666666666584,0.9250065930980551,0.9999999999998943,0.025939662454213537,-0.5545260065237221,0.23745963696685413,-5.075681119905679,1.5322193836027052,1.5331316806215556,0.9994049454261615,0.5333333333333333,0.6733333333333333,-7.647703282565377,-2.6261689698092168
EUR_USD,M5,A_sn,direction+body_ratio+wick+session_both+news,5,327,0.6146788990825688,0.6496,-0.03492110091743117,0.9157092985239631,0.9999999999998943,-0.041673667166396394,-0.751684632603515,-0.3735550255352601,-6.751917690742074,1.4271226762442633,1.4310420673583035,0.997261162894201,0.5504587155963303,0.6819571865443425,-8.640166125007381,-5.040287732305313
EUR_USD,M5,A_sn,direction+body_ratio+wick+session_both+news+trend,5,146,0.547945205479452,0.6496,-0.10165479452054793,0.995601865340871,0.9999999999998943,-0.07845323085108702,-0.7806022455452142,-0.6374702878910669,-6.4414733027222315,1.4575566067868955,1.5174460428207506,0.9605327409714498,0.4520547945205479,0.6643835616438356,-10.163844827015179,-3.9665355905869526
EUR_USD,M5,A_sn,direction+body_ratio+wick+session_both+news+trend+range_position,5,94,0.5425531914893617,0.6496,-0.1070468085106383,0.9877247010426244,0.9999999999998943,-0.217561972163542,-0.8824740125859739,-1.886807691549979,-7.803554225980632,1.4271023111310284,1.5121121650559812,0.9437807221650084,0.46808510638297873,0.6595744680851063,-13.701071052294992,-4.68657146141687
EUR_USD,M5,A_sn,direction,10,5522,0.6216950380296994,0.6496,-0.027904961970300568,0.99999276647982,0.9999999999998943,-0.07482546404568731,-0.9139523167762812,-0.43656922565340966,-5.262601289388808,1.8706516741010346,1.9312343141746415,0.9686300933921121,0.607388627308946,0.6360014487504527,-5.8086972563383705,-4.716761593643586
EUR_USD,M5,A_sn,direction+body_ratio,10,2846,0.6166549543218552,0.6496,-0.03294504567814471,0.9998835510873618,0.9999999999998943,-0.10552122681366255,-0.9224953274756353,-0.6313074592113436,-5.4419717638878495,1.8081667669080417,1.9166879002062442,0.94338090552639,0.5976809557273366,0.6359803232607167,-6.232853587359841,-4.687822625587208
EUR_USD,M5,A_sn,direction+body_ratio+wick,10,2846,0.6166549543218552,0.6496,-0.03294504567814471,0.9998835510873618,0.9999999999998943,-0.10552122681366255,-0.9224953274756353,-0.6313074592113436,-5.4419717638878495,1.8081667669080417,1.9166879002062442,0.94338090552639,0.5976809557273366,0.6359803232607167,-6.232853587359841,-4.687822625587208
EUR_USD,M5,A_sn,direction+body_ratio+wick+session_both,10,336,0.6220238095238095,0.64905,-0.02702619047619048,0.8630517181244828,0.9999999999998943,-0.13813307580231854,-0.8391100279511282,-0.8877488541567248,-5.36639601421196,1.9051713389579812,1.9527677122309532,0.9756261981520602,0.5595238095238095,0.6845238095238095,-6.9726816163822,-3.8875078853253426
EUR_USD,M5,A_sn,direction+body_ratio+wick+session_london,10,186,0.6397849462365591,0.6555,-0.015715053763440845,0.7032500200173191,0.9999999999998943,-0.18977948109453383,-0.987942951929532,-1.3454432416873316,-6.9396752821710015,1.7900501521633136,1.8896626755701194,0.9472855527631395,0.5752688172043011,0.7258064516129032,-9.378833863061834,-4.649107209306255
EUR_USD,M5,A_sn,direction+body_ratio+wick+session_newyork,10,150,0.6,0.64645,-0.04644999999999999,0.8981046869200582,0.9999999999998943,-0.07409153323997161,-0.6545572022179073,-0.4311409826598395,-3.8179628861784844,2.0479216105833697,2.0310179576903873,1.0083227491066622,0.54,0.68,-6.763214200912221,-0.9044437842737456
EUR_USD,M5,A_sn,direction+body_ratio+wick+session_both+news,10,327,0.6207951070336392,0.64905,-0.028254892966360856,0.8701423585738722,0.9999999999998943,-0.13564689538971475,-0.8456578608268335,-0.8736250857076013,-5.420376378327301,1.896288129286782,1.9352760513319875,0.9798540771388291,0.5596330275229358,0.6850152905198776,-6.99788072940509,-3.981022291976405
EUR_USD,M5,A_sn,direction+body_ratio+wick+session_both+news+trend,10,146,0.547945205479452,0.64905,-0.10110479452054799,0.9954151702675406,0.9999999999998943,-0.2038110712879895,-0.9059600859821167,-1.284484543292284,-5.7177139896339995,1.8704267791663798,2.014656233665031,0.9284098934157758,0.4520547945205479,0.6643835616438356,-8.903444196302061,-3.7638136025566507
EUR_USD,M5,A_sn,direction+body_ratio+wick+session_both+news+trend+range_position,10,94,0.5425531914893617,0.64905,-0.10649680851063836,0.987356115209454,0.9999999999998943,-0.26119994484768433,-0.9261119852701165,-1.6949717731748148,-6.029784311282085,1.7743122417070862,2.0211483267490378,0.8778733446847117,0.46808510638297873,0.6595744680851063,-12.025643656292225,-2.9001143426674396
EUR_USD,M5,A_sn,direction,20,5522,0.626946758420862,0.6497,-0.02275324157913805,0.9998019606820844,0.9999999999998943,-0.08735642133184872,-0.9264832740624429,-0.3480281537801311,-3.6664752854693434,2.7085100699072457,2.8085515562525862,0.9643796867026986,0.6128169141615357,0.6414342629482072,-4.157797736612743,-3.2083703115878275
EUR_USD,M5,A_sn,direction+body_ratio,20,2846,0.6208713984539704,0.6497,-0.02882860154602962,0.9993721854436438,0.9999999999998943,-0.15219869014909743,-0.9691727908110701,-0.6183128590627948,-3.901844447750224,2.621999750842674,2.8086762051348546,0.933535786734371,0.6022487702037947,0.6398453970484891,-4.582808308909985,-3.305746011041018
EUR_USD,M5,A_sn,direction+body_ratio+wick,20,2846,0.6208713984539704,0.6497,-0.02882860154602962,0.9993721854436438,0.9999999999998943,-0.15219869014909743,-0.9691727908110701,-0.6183128590627948,-3.901844447750224,2.621999750842674,2.8086762051348546,0.933535786734371,0.6022487702037947,0.6398453970484891,-4.582808308909985,-3.305746011041018
EUR_USD,M5,A_sn,direction+body_ratio+wick+session_both,20,336,0.6220238095238095,0.64875,-0.026726190476190514,0.8604927474365536,0.9999999999998943,-0.18982660167369594,-0.8908035538225055,-0.9458764588630043,-4.42519895810901,2.58257019269617,2.644545023715784,0.9765650308601914,0.5595238095238095,0.6845238095238095,-6.0335539836592265,-2.7075657106329314
